,Column1,Type,Status,City,State,PostalCode,GenderCode,BirthDate,MaritalStatus,Enrolled on ,Living status,Age,Age Group,Month_Year,Weak Num
1,0001F87E-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/10/1988,M,8/15/2018,couple with children,32.0,30-35 Years,18-Aug,Weak: 33
3,000D7905-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/19/1990,M,12/7/2018,couple with children,30.0,30-35 Years,18-Dec,Weak: 49
4,002D134F-A76C-11e8-8B0C-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/13/1980,M,8/24/2018,Single/living alone,41.0,40- 45Years,18-Aug,Weak: 34
5,0040234A-F78A-11e8-BDC8-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/12/1986,M,12/4/2018,couple with children,34.0,30-35 Years,18-Dec,Weak: 49
6,00444C44-A9F4-11e8-9E9E-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/5/1978,M,8/27/2018,couple with children,38.70276220976781,40- 45Years,18-Aug,Weak: 35
7,00548C6A-029A-11e9-80A8-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/18/1994,M,12/18/2018,Couple without children,27.0,25-30 Years,18-Dec,Weak: 51
8,005A6507-FE81-11e8-BE60-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,10/1/1959,M,12/13/2018,Couple without children,61.0,60+ Years,18-Dec,Weak: 50
10,00A1671E-729D-11e9-A128-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/21/1991,M,5/10/2019,couple with children,29.0,25-30 Years,19-May,Weak: 19
11,00A3263E-DD1E-11e9-BD02-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/12/1995,M,9/22/2019,couple with children,25.0,25-30 Years,19-Sep,Weak: 39
12,00A6C36C-9A75-11e8-9DA4-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/30/1988,M,8/7/2018,Couple without children,32.0,30-35 Years,18-Aug,Weak: 32
13,00ABD36C-121E-11e9-9FC6-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/15/1992,M,1/7/2019,Couple without children,28.0,25-30 Years,19-Jan,Weak: 2
14,00D60B32-1DA8-11ea-8826-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/4/1991,M,12/13/2019,Couple without children,29.0,25-30 Years,19-Dec,Weak: 50
15,00D6F6F1-A23E-11e8-97E2-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/1/1982,M,8/17/2018,Couple without children,38.0,35-40 Years,18-Aug,Weak: 33
16,00F58D47-FB44-11e8-811C-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/2/1977,M,12/9/2018,couple with children,44.0,40- 45Years,18-Dec,Weak: 50
18,012F5C4B-5BBC-11e8-A330-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/23/1987,M,5/20/2018,couple with children,33.0,30-35 Years,18-May,Weak: 21
19,0143BA83-6C9A-11e9-9548-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/14/1988,M,5/2/2019,Single/living alone,32.0,30-35 Years,19-May,Weak: 18
20,01445EB1-5891-11e9-BC94-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/1/1992,M,4/7/2019,Single/living alone,28.0,25-30 Years,19-Apr,Weak: 15
21,01487B1C-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/22/1967,M,8/4/2018,couple with children,53.0,50-55 Years,18-Aug,Weak: 31
22,01487B4B-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/21/1954,M,8/4/2018,couple with children,67.0,60+ Years,18-Aug,Weak: 31
23,01487B75-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/15/1958,M,8/4/2018,couple with children,63.0,60+ Years,18-Aug,Weak: 31
24,01487E04-97A7-11e8-A57A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/4/1997,M,8/4/2018,couple with children,23.0,20-25 Years,18-Aug,Weak: 31
25,0164A5C2-292D-11e9-9F4A-005056981C55,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/14/1988,M,2/5/2019,couple with children,32.0,30-35 Years,19-Feb,Weak: 6
26,01664395-5EC4-11e9-AC8C-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/19/1970,M,4/14/2019,couple with children,50.0,50-55 Years,19-Apr,Weak: 16
27,0175DF65-A12A-11e8-B0C2-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/27/1993,M,8/16/2018,couple with children,27.0,25-30 Years,18-Aug,Weak: 33
28,018AF08D-37ED-11e9-AFDC-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/19/1976,M,2/24/2019,couple with children,44.0,40- 45Years,19-Feb,Weak: 9
29,018C4B23-F394-11e8-B252-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/10/1946,M,11/29/2018,couple with children,74.0,60+ Years,18-Nov,Weak: 48
30,018E2290-AE62-11e8-84DA-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,3/12/1979,M,9/2/2018,couple with children,42.0,40- 45Years,18-Sep,Weak: 36
31,018E2529-AE62-11e8-84DA-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/21/1986,M,9/2/2018,couple with children,34.0,30-35 Years,18-Sep,Weak: 36
32,019ADA22-0E9D-11e9-B6FA-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/5/1984,M,1/2/2019,Couple without children,36.0,35-40 Years,19-Jan,Weak: 1
33,019F0C0A-B13E-11e9-B000-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,10/30/1988,M,7/28/2019,Couple without children,32.0,30-35 Years,19-Jul,Weak: 31
34,01A04BCC-A96A-11e8-AF04-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/20/1988,M,8/26/2018,Couple without children,32.0,30-35 Years,18-Aug,Weak: 35
35,01A12744-DD80-11e7-AF1C-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,12/25/1986,M,12/10/2017,Couple without children,34.0,30-35 Years,17-Dec,Weak: 50
36,01A811B5-AA1F-11e9-A1B2-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/7/1969,M,7/19/2019,Couple without children,52.0,50-55 Years,19-Jul,Weak: 29
37,01ADB8CC-4B5F-11ea-B0EA-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/26/1996,M,2/9/2020,Couple without children,24.0,20-25 Years,20-Feb,Weak: 7
38,01AFEDA6-B6CC-11e8-B136-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/9/1989,M,9/13/2018,Single/living alone,31.0,30-35 Years,18-Sep,Weak: 37
39,01B46DF6-9E0F-11e8-99D6-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,4/1/1993,M,8/12/2018,Single/living alone,28.0,25-30 Years,18-Aug,Weak: 33
